               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.030587,            0.036235,                   0,              0.9525,             0.88421,             0.95911,             0.58122,            0.031969,            0.041637,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.029756,            0.037963,                   0,             0.92541,             0.91579,             0.96065,             0.57004,            0.032049,            0.041656,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029479,            0.038932,                   0,             0.93592,             0.88421,             0.96082,             0.57692,            0.031989,            0.041691,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.03036,            0.040904,                   0,             0.92729,             0.88421,              0.9586,             0.58629,            0.032255,            0.041618,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029075,            0.036494,                   0,             0.95303,             0.85443,             0.95491,             0.58172,            0.032407,            0.041985,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.02966,            0.037842,                   0,             0.95348,             0.86292,              0.9566,             0.57849,            0.032419,            0.041973,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.029695,            0.039263,                   0,              0.8776,             0.94737,             0.95709,             0.58238,            0.032028,            0.041893,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.02891,            0.040657,                   0,             0.88119,             0.93689,             0.95888,             0.58434,            0.031998,             0.04187,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.028972,            0.037356,                   0,             0.88924,             0.92961,             0.95978,             0.58816,             0.03182,            0.041885,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.028816,            0.036221,                   0,             0.92204,             0.89474,             0.95812,             0.59036,            0.031882,            0.041901,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.028871,            0.036164,                   0,             0.92088,             0.89474,             0.95728,              0.5894,             0.03199,            0.041786,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.029371,            0.037647,                   0,             0.94405,             0.88805,             0.95865,             0.59433,            0.031837,            0.041618,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.028905,            0.036762,                   0,             0.94392,             0.88583,             0.95874,             0.59361,            0.031927,            0.041695,                   0,            0.000397,            0.000397,            0.000397
                  99,               0.028,             0.03749,                   0,             0.95472,             0.88787,              0.9593,             0.58867,            0.031924,            0.041706,                   0,            0.000298,            0.000298,            0.000298
